case_id,case_outcome,case_title,sentiment,excerpt
Case1,cited,Alpine Hardwood (Aust) Pty Ltd v Hardys Pty Ltd (No 2) [2002] FCA 224 ; (2002) 190 ALR 121,NEUTRAL,Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practi...
Case2,cited,Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386,NEUTRAL,The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calde...
Case3,cited,Colgate Palmolive Co v Cussons Pty Ltd (1993) 47 FCR 225,NEUTRAL,Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practi...
Case4,cited,Dais Studio Pty Ltd v Bullett Creative Pty Ltd [2008] FCA 42,NEUTRAL,The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calde...
Case5,cited,Dr Martens Australia Pty Ltd v Figgins Holdings Pty Ltd (No 2) [2000] FCA 602,NEUTRAL,The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and prac...
Case6,cited,GEC Marconi Systems Pty Ltd v BHP Information Technology Pty Ltd [2003] FCA 688 ; (2003) 201 ALR 55,NEUTRAL,I accept that the making of a rolled up offer inclusive of costs and interest may detract from the weight to be given to its refusal in the exercise o...
Case7,cited,John S Hayes &amp; Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201,NEUTRAL,The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and prac...
Case8,cited,Seven Network Limited v News Limited (2007) 244 ALR 374,POSITIVE,"On the question of the level of unreasonableness necessary to attract the discretion, I respectfully agree with the comment of Sackville J in Seven Ne..."
Case9,applied,Australian Broadcasting Corporation v O'Neill [2006] HCA 46,POSITIVE,"recent decision of the High Court in Australian Broadcasting Corporation v O'Neill clarifies this issue. Gleeson CJ and Crennan J (at [19]), after ref..."
Case10,followed,Hexal Australia Pty Ltd v Roche Therapeutics Inc (2005) 66 IPR 325,POSITIVE,"Hexal Australia Pty Ltd v Roche Therapeutics Inc , the likelihood of irreparable harm was regarded by Stone J as, indeed, a separate element that had ..."
Case11,cited,Castlemaine Tooheys Ltd v South Australia [1986] HCA 58 ; (1986) 161 CLR 148,NEUTRAL,"Hexal Australia Pty Ltd v Roche Therapeutics Inc , the likelihood of irreparable harm was regarded by Stone J as, indeed, a separate element that had ..."
Case12,cited,R v McFarlane; Ex parte O'Flannagan and O'Kelly [1923] HCA 39 ; (1923) 32 CLR 518,NEUTRAL,"quia timet proceedings, the court will have regard to the degree of probability of the apprehended injury, the degree of the seriousness of the injury..."
Case13,followed,National Australia Bank v KDS Construction Services Pty Ltd [1987] HCA 65 ; (1987) 163 CLR 668,NEUTRAL,"It was not suggested in this proceeding that, so far as a Commonwealth revenue debt is concerned, there is any express statutory provision which alter..."
Case14,followed,George v Cluning (1979) 53 ALJR 767 (note),NEUTRAL,"Strictly speaking, a cheque, even a bank cheque, is not a form of legal tender. Subject to some particular contractual or statutory provision, the onl..."
Case15,followed,Australian Mid-Eastern Club Limited v Yassim (1989) 1 ACSR 399,NEGATIVE,None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavou...
Case16,followed,Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830,NEGATIVE,None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavou...
Case17,followed,Deputy Commissioner of Taxation v Guy Holdings Pty Ltd [1994] TASSC 126 ; (1994) 116 FLR 314; (1994),POSITIVE,The true position is that the applicant's status as a creditor at the time when the application was made and the presumption flowing from the company'...
Case19,cited,Motor Terms Co Pty Ltd v Liberty Insurance Ltd [1967] HCA 9 ; (1967) 116 CLR 177,POSITIVE,"Assuming that the Deputy Commissioner ought presently to be regarded as an applicant whose debt has been paid, it does not, with respect, seem to me t..."
Case21,referred to,Appellant S395/2002 v Minister for Immigration and Multicultural Affairs; Appellant S396/2002 v Mini,NEGATIVE,"am satisfied that the finding of the third Tribunal that the two appellants are not, and were not, homosexuals was not made in the exercise of honest ..."
Case22,cited,Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518,NEGATIVE,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel..."
Case23,cited,Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374,NEGATIVE,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel..."
Case25,referred to,Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham [2000] HCA 1 ; (2,NEUTRAL,"J in Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham ; said, at [67]: ... a finding as to whether the prosecutor sh..."
Case26,cited,TCN Channel Nine Pty Ltd v Australian Broadcasting Tribunal (1992) 28 ALD 829,NEGATIVE,"I find that the decision was perverse to such an extent as to exhibit a serious failure in the decision making process, with the consequences that the..."
Case28,referred to,Waterford v Commonwealth [1987] HCA 25 ; (1987) 163 CLR 54,POSITIVE,"J, as he then was, said in Waterford v Commonwealth ; , at 77: There is no error of law simply in making a wrong finding of fact. A finding, which pur..."
Case29,followed,Elderslie Finance Corp Ltd v Australian Securities Commission (1993) 11 ASCR 157,NEUTRAL,
Case30,related,"Hayes, in the matter of Estate Property Group Limited (Administrators Appointed) [2007] FCA 935 ",NEUTRAL,On 15 June 2007 I made orders extending the convening period for the meeting of creditors required to be held under s 439A of the Corporations Act 200...
Case31,related,Australian Capital Reserve Limited (Administrators Appointed) v High Tower Investments Pty Limited (,NEUTRAL,On 15 June 2007 I made orders extending the convening period for the meeting of creditors required to be held under s 439A of the Corporations Act 200...
Case32,related,"Hall, in the matter of Australian Capital Reserve Limited (Administrators Appointed) [2007] FCA 1328",NEUTRAL,On 15 June 2007 I made orders extending the convening period for the meeting of creditors required to be held under s 439A of the Corporations Act 200...
Case33,cited,"Australian Securities and Investments Commission, In the Matter of Richstar Enterprises Pty Ltd (ACN",POSITIVE,On 30 March 2006 Siopis J made interim orders restraining the defendants from removing any of their property from Australia or from otherwise dealing ...
Case34,cited,ASIC v Mauer-Swisse Securities Ltd (2002) 20 ACLC 1530,NEUTRAL,"There is a variety of ways in which the interests of persons, to whom liabilities may be owed, can be protected by orders made under the section. The ..."
Case35,cited,CAC v Lone Star Exploration NL (1988) 14 ACLR 499,NEUTRAL,"The orders that can be made under the section are directed, inter alia, to the preservation of assets against which recovery may be sought in the even..."
Case36,cited,Corporate Affairs Commission v ASC Timber Pty Ltd (1989) 7 ACLC 467,POSITIVE,The circumstances in which the Court may make orders under s 1323(1) are wide as indicated by the words 'necessary or desirable ... for the purpose of...
Case37,cited,Australian Securities and Investments Commission v Adler (2001) 38 ACSR 266,POSITIVE,The circumstances in which the Court may make orders under s 1323(1) are wide as indicated by the words 'necessary or desirable ... for the purpose of...
Case38,cited,ASIC v Burke [2000] NSWSC 694,NEUTRAL,It is not a necessary consequence of an order appointing a receiver that the receiver should deal with or liquidate the assets in question. The interl...
Case39,considered,Australian Securities and Investments Commission v Pegasus Leveraged Options Group Pty Ltd (2002) 41,POSITIVE,"In Australian Securities and Investments Commission v Pegasus Leveraged Options Group Pty Ltd at 574 ("" Pegasus ""), Davies AJ addressed the question w..."
Case40,cited,Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488,NEGATIVE,"Mansfield J reached a similar conclusion in Australian Securities and Investments Commission v McNamara . In that case, the individual in question was..."
Case41,cited,Australian Securities and Investments Commission v Giann &amp; Giann Pty Ltd [2005] FCA 81 ; (2005) ,NEUTRAL,Numerous cases have held that s 911A of the Act extends to a company director who conducts or is involved in a company's carrying on of a financial se...
Case42,cited,Australian Securities and Investments Commission v Manito Pty Ltd (2005) 53 ACSR 56,NEUTRAL,Numerous cases have held that s 911A of the Act extends to a company director who conducts or is involved in a company's carrying on of a financial se...
Case43,cited,Australian Securities and Investments Commission v Drury Management Pty Ltd [2004] QSC 68,NEUTRAL,Numerous cases have held that s 911A of the Act extends to a company director who conducts or is involved in a company's carrying on of a financial se...
Case44,cited,Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564,NEUTRAL,"In Ainsworth v Criminal Justice Commission ; , at 581-582, Mason CJ, Dawson, Toohey and Gaudron JJ said that superior courts have inherent power to gr..."
Case45,cited,Australian Softwood Forest Pty Ltd v Attorney-General (NSW) [1981] HCA 49 ; (1981) 148 CLR 121,POSITIVE,"Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) ; , esp at 125, the courts have recognised that the grant of declaratory relief on ..."
Case46,cited,Corporate Affairs Commission (NSW) v Transphere Pty Ltd (1988) 15 NSWLR 596,POSITIVE,"Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) ; , esp at 125, the courts have recognised that the grant of declaratory relief on ..."
Case47,cited,Australian Securities and Investments Commission v Sweeney [2001] NSWSC 114,POSITIVE,"Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) ; , esp at 125, the courts have recognised that the grant of declaratory relief on ..."
Case48,cited,Tobacco Institute of Australia Ltd v Australian Federation of Consumer Organisations Inc (No 2) (199,POSITIVE,"Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) ; , esp at 125, the courts have recognised that the grant of declaratory relief on ..."
Case49,cited,OD Transport Pty Ltd v WA Government Railways Commission (1987) 13 FCR 500,POSITIVE,"Section 1324 permits the Court to grant an injunction ""on such terms as the court thinks appropriate"". These words echo the concluding words of s 80(1..."
Case50,considered,ICI Australia Operations Pty Ltd v Trade Practices Commission (1992) 38 FCR 248,NEUTRAL,"The operation of s 80(1) of the TPA was canvassed by the Full Court of this Court in ICI Australia Operations Pty Ltd v Trade Practices Commission ("" ..."
Case51,cited,Mikasa (NSW) Pty Ltd v Festival Stores [1972] HCA 69 ; (1972) 127 CLR 617,NEUTRAL,"The operation of s 80(1) of the TPA was canvassed by the Full Court of this Court in ICI Australia Operations Pty Ltd v Trade Practices Commission ("" ..."
Case52,cited,ACCC v Z-Tek Computer Pty Ltd (1997) 78 FCR 197 at 202,NEUTRAL,"In ACCC v Z-Tek Computer Pty Ltd at 202 at [D]-[E], after referring to these passages in ICI , Merkel J said: ""The width of the power conferred by s 8..."
Case53,cited,ACCC v Real Estate Institute (WA) [1999] FCA 1387 ; (1999) 95 FCR 114,POSITIVE,It is implicit in Merkel J's judgment that an injunction under s 80 may extend beyond the specific conduct proven to constitute a contravention by s 8...
Case54,discussed,Foster v Australian Competition and Consumer Commission [2006] FCAFC 21,NEUTRAL,"Most recently, in Foster v Australian Competition and Consumer Commission , a Full Court (comprising Ryan, Finn and Allsop JJ) noted the apparent tens..."
Case55,cited,Australian Securities and Investments Commission v Takaran Pty Ltd (No 2) (2003) 194 ALR 743,POSITIVE,"In ASIC v Takaran Pty Ltd (No 2) at 747-748, at [15], Barrett J made the following observation, with which I agree: ""The fact that a scheme is being o..."
Case56,cited,Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 77,NEUTRAL,"ASIC does not seek an order that BTS be wound up, even though there is some evidence that it might be insolvent. In many cases, it may be appropriate,..."
Case57,referred to,Boston Commercial Services Pty Ltd v GE Capital Finance Australasia Pty Ltd [2006] FCA 1352 ; (2006),NEGATIVE,It has been said that s 31A lowers the bar in terms of summary judgment applications. The operation of s 31A was considered by Rares J in Boston Comme...
Case58,applied,Commonwealth Bank of Australia v Gargan [2004] FCA 707 ; (2004) 140 FCR 1,NEGATIVE,"Insofar as the argument is advanced based upon s 13 of the Crimes Act 1914 (Cth), that is, on the common informer provisions, I respectfully adopt wha..."
Case59,cited,Daemar v Industrial Commission (NSW) (1988) 12 NSWLR 45,NEUTRAL,Mr Gargan also argued that he had an entitlement to the issue of orders in the nature of mandamus against the Official Trustee. There may be a questio...
Case60,referred to,"Gargan v Scott (unreported, NSWSC, 27 October 2003)",NEGATIVE,"Insofar as the argument is advanced based upon s 13 of the Crimes Act 1914 (Cth), that is, on the common informer provisions, I respectfully adopt wha..."
Case61,considered,Gye v McIntyre [1991] HCA 60 ; (1991) 171 CLR 609,NEGATIVE,"However, if authority were needed, the Full Court of this Court has decided in Heinrich v Commonwealth Bank of Australia that Mr Gargan's argument was..."
Case62,considered,Heinrich v Commonwealth Bank of Australia [2001] FCA 661,NEGATIVE,"However, if authority were needed, the Full Court of this Court has decided in Heinrich v Commonwealth Bank of Australia that Mr Gargan's argument was..."
Case63,applied,Heinrich v Commonwealth Bank of Australia [2003] FCAFC 315,POSITIVE,"That operation of s 153B was confirmed by Flick J in this Court in Samootin v Wagner at [32] and [33]. His Honour applied what had fallen from Carr, F..."
Case64,referred to,Kable v Director of Public Prosecutions (NSW) [1996] HCA 24 ; (1996) 189 CLR 51,NEGATIVE,"Fourthly, Mr Gargan relied upon the proposition that the Australian Capital Territory Local Court was a State court and that through various procedura..."
Case65,referred to,Meriton Apartments Pty Ltd v Industrial Court of New South Wales [2008] FCAFC 172,NEUTRAL,"As to the annulment of the 1994 bankruptcy, this Court has vested in it, by s 27 of the Bankruptcy Act 1966 (Cth), exclusive jurisdiction in bankruptc..."
Case66,referred to,"Re Gargan; Ex parte Official Trustee in Bankruptcy (unreported, FCA, Kiefel J, 23 August 1996)",NEUTRAL,"As I understood his submissions, the central proposition was that whilst he accepted he had consented to the making of the sequestration order in 1994..."
Case67,referred to,Samootin v Wagner [2008] FCA 1066,POSITIVE,"That operation of s 153B was confirmed by Flick J in this Court in Samootin v Wagner at [32] and [33]. His Honour applied what had fallen from Carr, F..."
Case68,considered,Applicant VEAL of 2002 v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HC,POSITIVE,"On this basis, the response of the respondent to the letters of Ms Nicholson-Brown's solicitors was appropriate and adequate. The respondent replied t..."
Case69,cited,Barton v Croner Trading Pty Ltd (1984) 3 FCR 95,POSITIVE,"My own view is that s 21R confers a power to appoint, not a power to make, grant or issue any instrument. Section 21R does not talk in terms of the re..."
Case70,cited,Bond v WorkCover Corporation (SA) (2005) 93 SASR 315,POSITIVE,I should indicate that even if I came to the conclusion that there was a failure to adhere to a requirement of consultation with a local Aboriginal co...
Case71,cited,Dennis Willcox Pty Ltd v Commissioner of Taxation (1998) 79 ALR 267,POSITIVE,"On this basis, the response of the respondent to the letters of Ms Nicholson-Brown's solicitors was appropriate and adequate. The respondent replied t..."
Case72,cited,Edenmead Pty Ltd v Commonwealth (1984) 4 FCR 348,POSITIVE,"My own view is that s 21R confers a power to appoint, not a power to make, grant or issue any instrument. Section 21R does not talk in terms of the re..."
Case73,cited,Hot Holdings Pty Ltd v Creasy [2002] HCA 51 ; (2002) 210 CLR 438,NEUTRAL,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the r..."
Case74,cited,Jarratt v Commissioner of Police (NSW) [2005] HCA 50 ; (2005) 224 CLR 44,NEUTRAL,I am prepared to assume for the purposes of this case that natural justice or procedural fairness needed to be accorded to each applicant. The real qu...
Case75,applied,Laurence v Chief of Navy [2004] FCA 1535 ; (2004) 139 FCR 555,NEUTRAL,"The second matter is whether the Act confers a power to make, grant or issue such an instrument or merely confers a power on the Minister to make a de..."
Case76,cited,Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507,NEUTRAL,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the r..."
Case77,cited,Minister for Aboriginal Affairs v Peko-Wallsend Ltd [1986] HCA 40 ; (1986) 162 CLR 24,NEUTRAL,"It is well established that, in the absence of any express limitation in a statute, a consideration will be considered irrelevant only where there is ..."
Case78,cited,Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1,NEUTRAL,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the r..."
Case79,considered,Nguyen v Minister for Health and Ageing [2002] FCA 1241,NEUTRAL,The applicants relied upon the decisions in Nguyen v Minister for Health and Ageing and Registrar for Liquor Licences v Iliadis in support of the prop...
Case80,cited,Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355,POSITIVE,I should indicate that even if I came to the conclusion that there was a failure to adhere to a requirement of consultation with a local Aboriginal co...
Case81,cited,R v Anderson; Ex parte Ipec-Air Pty Ltd [1965] HCA 27 ; (1965) 113 CLR 177,NEUTRAL,"There are many instances where important and significant decisions need to be made, and full-time public servants or servants of the Crown are regarde..."
Case82,cited,Re Brian Lawlor Automotive Pty Ltd and Collector of Customs (NSW) (1978) 1 ALD 167,POSITIVE,"My own view is that s 21R confers a power to appoint, not a power to make, grant or issue any instrument. Section 21R does not talk in terms of the re..."
Case83,considered,Registrar for Liquor Licences v Iliadis (1988) 19 FCR 311,NEUTRAL,The applicants relied upon the decisions in Nguyen v Minister for Health and Ageing and Registrar for Liquor Licences v Iliadis in support of the prop...
Case84,cited,South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378,NEUTRAL,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the r..."
Case85,followed,X v Australian Crime Commission [2004] FCA 1475 ; (2004) 139 FCR 413,NEUTRAL,There are two matters requiring consideration before it can be held that s 33(3) applies to s 21R. The first matter is whether an appointment made und...
Case86,cited,Australian Postal Commission v Hayes (1989) 87 ALR 283,NEUTRAL,It may be accepted as a general statement of principle that if directions are given by a court or tribunal that have the effect of fettering cross-exa...
Case87,cited,Australian Securities and Investments Commission v Saxby Bridge Financial Planning Pty Limited [2003,NEUTRAL,"Whilst not opposed to the filing of the supplementary notice, CRS points out that many of the seventeen questions stated in the original and supplemen..."
Case88,cited,Birdseye v Australian Securities and Investments Commission (2003) 76 ALD 321,NEUTRAL,"Whilst not opposed to the filing of the supplementary notice, CRS points out that many of the seventeen questions stated in the original and supplemen..."
Case89,referred to,"Lawrance v President, Administrative Appeals Tribunal [2005] FCA 79",NEGATIVE,The assumption is without foundation. I refused interlocutory relief on 10 February 2005; see . Leave to appeal from my judgment was refused by Hely J...
Case90,referred to,Lawrance v Administrative Appeals Tribunal [2005] FCA 541,NEGATIVE,The assumption is without foundation. I refused interlocutory relief on 10 February 2005; see . Leave to appeal from my judgment was refused by Hely J...
Case91,referred to,"Lawrance v President, Administrative Appeals Tribunal [2006] FCA 342",POSITIVE,"Most of the background facts, as well as the decision of Senior Member Kelly, have been set out in my judgment in matter NSD 55 of 2005, handed down c..."
Case92,cited,Minh v Minister for Immigration and Multicultural Affairs (1998) 86 FCR 304,NEUTRAL,"In Minh v Minister for Immigration and Multicultural Affairs at 314, Weinberg J observed that the duty to act fairly may be breached if a party is not..."
Case93,cited,R v Australian Broadcasting Tribunal; Ex parte Hardiman [1980] HCA 13 ; (1980) 144 CLR 13,NEUTRAL,It may be accepted as a general statement of principle that if directions are given by a court or tribunal that have the effect of fettering cross-exa...
Case94,cited,TNT Skypak International (Aust) Pty Limited v Federal Commissioner of Taxation (1988) 82 ALR 175,NEUTRAL,"Whilst not opposed to the filing of the supplementary notice, CRS points out that many of the seventeen questions stated in the original and supplemen..."
Case95,followed,"Purchas, in the matter of Estore Pty Limited (in liq) [2006] FCA 1222",NEUTRAL,"material facts in Purchas, in the matter of Estore Pty Limited (in liq) and Purchas, in the matter of Worldwide Workers Pty Limited (in liq) are indis..."
Case96,followed,"Purchas, in the matter of Worldwide Workers Pty Limited (in liq) [2006] FCA 1223",NEUTRAL,"material facts in Purchas, in the matter of Estore Pty Limited (in liq) and Purchas, in the matter of Worldwide Workers Pty Limited (in liq) are indis..."
Case97,cited,Deputy Commissioner of Taxation v ACN 080 122 587 Pty Ltd [2005] NSWSC 1247,NEUTRAL,"both propositions are of some novelty in circumstances such as the present, counsel is correct in submitting that there is some support to be derived ..."
Case98,cited,Re Currabubula Holdings Pty Ltd (in liq); Ex parte Lord (2004) 48 ACSR 734; (2004) 22 ACLC 858,NEUTRAL,"both propositions are of some novelty in circumstances such as the present, counsel is correct in submitting that there is some support to be derived ..."
Case99,referred to,Australian Postal Corporation v Forgie and Another [2003] FCAFC 223 ; (2003) 130 FCR 279,NEUTRAL,94(1) of the EMDG Act provides that the provisions of subsection (2) thereof apply if the requirements specified in ss 94(1)(a) and 94(1)(b) are satis...
Case100,referred to,Australian Telecommunications Corporation v Lambroglou (1990) 12 AAR 515,NEUTRAL,Comcare v Etheridge and Others ; at 527 the Full Court considered the nature of an appeal under s 44(1) of the AAT Act and determined that an appeal '...
Case101,referred to,Birdseye v Australian Securities and Investments Commission [2003] FCAFC 232 ; (2003) 38 AAR 55,NEUTRAL,Comcare v Etheridge and Others ; at 527 the Full Court considered the nature of an appeal under s 44(1) of the AAT Act and determined that an appeal '...
Case102,referred to,Collins v Administrative Appeals Tribunal and Another [2007] FCAFC 111 ; (2007) 163 FCR 35,NEUTRAL,"Court concludes that, since no factual questions are involved in such determination, the question as submitted is one solely of law 'directing the Cou..."
Case103,referred to,Comcare v Etheridge and Others [2006] FCAFC 27 ; (2006) 149 FCR 522,NEUTRAL,Comcare v Etheridge and Others ; at 527 the Full Court considered the nature of an appeal under s 44(1) of the AAT Act and determined that an appeal '...
Case104,referred to,Corporation of the City of Enfield v Development Assessment Commission and Another [2000] HCA 5 ; (1,NEUTRAL,"Corporation of the City of Enfield v Development Assessment Commission and Another ; at [28] the High Court of Australia observed: The term ""jurisdict..."
